case_id;province;city;group;infection_case;confirmed;latitude;longitude
1000036;Seoul;-;FALSO;overseas inflow;298;-;-
1000037;Seoul;-;FALSO;contact with patient;162;-;-
1000038;Seoul;-;FALSO;etc;100;-;-
1100001;Busan;Dongnae-gu;VERDADERO;Onchun Church;39;3,521,628;1,290,771
1100002;Busan;from other city;VERDADERO;Shincheonji Church;12;-;-
1100003;Busan;Suyeong-gu;VERDADERO;Suyeong-gu Kindergarten;5;3,516,708;1,291,124
1100004;Busan;Haeundae-gu;VERDADERO;Haeundae-gu Catholic Church;6;3,520,599;1,291,256
1100005;Busan;Jin-gu;VERDADERO;Jin-gu Academy;4;3,517,371;1,290,633
1100006;Busan;from other city;VERDADERO;Itaewon Clubs;4;-;-
1100007;Busan;from other city;VERDADERO;Cheongdo Daenam Hospital;1;-;-
1100008;Busan;-;FALSO;overseas inflow;36;-;-
1100009;Busan;-;FALSO;contact with patient;19;-;-
1100010;Busan;-;FALSO;etc;30;-;-
1200001;Daegu;Nam-gu;VERDADERO;Shincheonji Church;4511;3,584,008;1,285,667
1200002;Daegu;Dalseong-gun;VERDADERO;Second Mi-Ju Hospital;196;35,857,375;128,466,651
1200003;Daegu;Seo-gu;VERDADERO;Hansarang Convalescent Hospital;124;35,885,592;128,556,649
1200004;Daegu;Dalseong-gun;VERDADERO;Daesil Convalescent Hospital;101;35,857,393;128,466,653
1200005;Daegu;Dong-gu;VERDADERO;Fatima Hospital;39;3,588,395;128,624,059
1200006;Daegu;from other city;VERDADERO;Itaewon Clubs;2;-;-
1200007;Daegu;from other city;VERDADERO;Cheongdo Daenam Hospital;2;-;-
1200008;Daegu;-;FALSO;overseas inflow;41;-;-
1200009;Daegu;-;FALSO;contact with patient;917;-;-
1200010;Daegu;-;FALSO;etc;747;-;-
1300001;Gwangju;Dong-gu;VERDADERO;Gwangneuksa Temple;5;35,136,035;126,956,405
1300002;Gwangju;from other city;VERDADERO;Shincheonji Church;9;-;-
1300003;Gwangju;-;FALSO;overseas inflow;23;-;-
1300004;Gwangju;-;FALSO;contact with patient;5;-;-
1300005;Gwangju;-;FALSO;etc;1;-;-
1400001;Incheon;from other city;VERDADERO;Itaewon Clubs;53;-;-
1400002;Incheon;from other city;VERDADERO;Coupang Logistics Center;42;-;-
1400003;Incheon;from other city;VERDADERO;Guro-gu Call Center;20;-;-
1400004;Incheon;from other city;VERDADERO;Shincheonji Church;2;-;-
1400005;Incheon;-;FALSO;overseas inflow;68;-;-
1400006;Incheon;-;FALSO;contact with patient;6;-;-
1400007;Incheon;-;FALSO;etc;11;-;-
1500001;Daejeon;-;VERDADERO;Door-to-door sales in Daejeon;55;-;-
1500002;Daejeon;Seo-gu;VERDADERO;Dunsan Electronics Town;13;363,400,973;1,273,927,099
1500003;Daejeon;Seo-gu;VERDADERO;Orange Town;7;363,398,739;1,273,819,744
